animating href,animating src,id,pokemon-info,pill,pill 2,pill 6
https://www.pokemon.com/us/pokedex/bulbasaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png,001,Bulbasaur,Grass,Poison,
https://www.pokemon.com/us/pokedex/ivysaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png,002,Ivysaur,Grass,Poison,
https://www.pokemon.com/us/pokedex/venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,003,Venusaur,Grass,Poison,
https://www.pokemon.com/us/pokedex/charmander,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png,004,Charmander,Fire,,
https://www.pokemon.com/us/pokedex/charmeleon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png,005,Charmeleon,Fire,,
https://www.pokemon.com/us/pokedex/charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,006,Charizard,Fire,,
https://www.pokemon.com/us/pokedex/squirtle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png,007,Squirtle,,,
https://www.pokemon.com/us/pokedex/wartortle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png,008,Wartortle,,,
https://www.pokemon.com/us/pokedex/blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,009,Blastoise,,,
https://www.pokemon.com/us/pokedex/caterpie,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png,010,Caterpie,,,
https://www.pokemon.com/us/pokedex/metapod,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png,011,Metapod,,,
https://www.pokemon.com/us/pokedex/butterfree,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png,012,Butterfree,,,
https://www.pokemon.com/us/pokedex/weedle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png,013,Weedle,,Poison,
https://www.pokemon.com/us/pokedex/kakuna,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png,014,Kakuna,,Poison,
https://www.pokemon.com/us/pokedex/beedrill,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,015,Beedrill,,Poison,
https://www.pokemon.com/us/pokedex/pidgey,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png,016,Pidgey,,Normal,
https://www.pokemon.com/us/pokedex/pidgeotto,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png,017,Pidgeotto,,Normal,
https://www.pokemon.com/us/pokedex/pidgeot,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,018,Pidgeot,,Normal,
https://www.pokemon.com/us/pokedex/rattata,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,019,Rattata,,Normal,
https://www.pokemon.com/us/pokedex/raticate,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,020,Raticate,,Normal,
https://www.pokemon.com/us/pokedex/spearow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png,021,Spearow,,Normal,
https://www.pokemon.com/us/pokedex/fearow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png,022,Fearow,,Normal,
https://www.pokemon.com/us/pokedex/ekans,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png,023,Ekans,,Poison,
https://www.pokemon.com/us/pokedex/arbok,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png,024,Arbok,,Poison,
https://www.pokemon.com/us/pokedex/pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png,025,Pikachu,Electric,,
https://www.pokemon.com/us/pokedex/raichu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,026,Raichu,Electric,,
https://www.pokemon.com/us/pokedex/sandshrew,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,027,Sandshrew,,,Ground
https://www.pokemon.com/us/pokedex/sandslash,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,028,Sandslash,,,Ground
https://www.pokemon.com/us/pokedex/nidoran-female,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png,029,Nidoran♀,,Poison,
https://www.pokemon.com/us/pokedex/nidorina,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png,030,Nidorina,,Poison,
https://www.pokemon.com/us/pokedex/nidoqueen,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png,031,Nidoqueen,,Poison,Ground
https://www.pokemon.com/us/pokedex/nidoran-male,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png,032,Nidoran♂,,Poison,
https://www.pokemon.com/us/pokedex/nidorino,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png,033,Nidorino,,Poison,
https://www.pokemon.com/us/pokedex/nidoking,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png,034,Nidoking,,Poison,Ground
https://www.pokemon.com/us/pokedex/clefairy,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png,035,Clefairy,,,Fairy
https://www.pokemon.com/us/pokedex/clefable,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png,036,Clefable,,,Fairy
https://www.pokemon.com/us/pokedex/vulpix,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,037,Vulpix,Fire,,
https://www.pokemon.com/us/pokedex/ninetales,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,038,Ninetales,Fire,,
https://www.pokemon.com/us/pokedex/jigglypuff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png,039,Jigglypuff,,Normal,Fairy
https://www.pokemon.com/us/pokedex/wigglytuff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png,040,Wigglytuff,,Normal,Fairy
https://www.pokemon.com/us/pokedex/zubat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png,041,Zubat,,Poison,
https://www.pokemon.com/us/pokedex/golbat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png,042,Golbat,,Poison,
https://www.pokemon.com/us/pokedex/oddish,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png,043,Oddish,Grass,Poison,
https://www.pokemon.com/us/pokedex/gloom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png,044,Gloom,Grass,Poison,
https://www.pokemon.com/us/pokedex/vileplume,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png,045,Vileplume,Grass,Poison,
https://www.pokemon.com/us/pokedex/paras,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png,046,Paras,Grass,,
https://www.pokemon.com/us/pokedex/parasect,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png,047,Parasect,Grass,,
https://www.pokemon.com/us/pokedex/venonat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png,048,Venonat,,Poison,
https://www.pokemon.com/us/pokedex/venomoth,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png,049,Venomoth,,Poison,
https://www.pokemon.com/us/pokedex/diglett,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,050,Diglett,,,Ground
https://www.pokemon.com/us/pokedex/dugtrio,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,051,Dugtrio,,,Ground
https://www.pokemon.com/us/pokedex/meowth,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,052,Meowth,,Normal,
https://www.pokemon.com/us/pokedex/persian,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,053,Persian,,Normal,
https://www.pokemon.com/us/pokedex/psyduck,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png,054,Psyduck,,,
https://www.pokemon.com/us/pokedex/golduck,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png,055,Golduck,,,
https://www.pokemon.com/us/pokedex/mankey,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png,056,Mankey,,,Fighting
